Timestamp,Flow (SLPM),Total (NCM),Temperature (°C),Battery
2025-11-26 12:57:57,4.80,0.005,24.7,100% (Good)
2025-11-26 12:57:58,5.67,0.010,24.7,100% (Good)
2025-11-26 12:57:59,4.86,0.015,24.7,100% (Good)
2025-11-26 12:58:00,5.09,0.020,24.7,100% (Good)
2025-11-26 12:58:01,4.99,0.025,24.7,100% (Good)
2025-11-26 12:58:02,5.15,0.031,24.5,100% (Good)
2025-11-26 12:58:03,5.20,0.036,24.5,100% (Good)
2025-11-26 12:58:04,0.00,0.000,25.0,N/A
2025-11-26 12:58:05,0.00,0.000,25.0,N/A
2025-11-26 12:58:06,0.00,0.000,25.0,N/A
2025-11-26 12:58:07,0.00,0.000,25.0,N/A
2025-11-26 12:58:08,0.00,0.000,25.0,N/A
2025-11-26 12:58:09,0.00,0.000,25.0,N/A
2025-11-26 12:58:10,0.00,0.000,25.0,N/A
2025-11-26 12:58:11,0.00,0.000,25.0,N/A
2025-11-26 12:58:12,0.00,0.000,25.0,N/A
2025-11-26 12:58:14,7.12,0.043,23.3,100% (Good)
2025-11-26 12:58:15,7.06,0.050,23.3,100% (Good)
2025-11-26 12:58:16,6.36,0.056,23.3,100% (Good)
2025-11-26 12:58:17,7.04,0.063,23.3,100% (Good)
2025-11-26 12:58:18,7.34,0.071,23.3,100% (Good)
2025-11-26 12:58:19,0.00,0.000,25.0,N/A
2025-11-26 12:58:20,0.00,0.000,25.0,N/A
2025-11-26 12:58:22,7.80,0.078,24.1,100% (Good)
2025-11-26 12:58:23,7.54,0.086,24.1,100% (Good)
2025-11-26 12:58:24,7.56,0.094,24.1,100% (Good)
2025-11-26 12:58:25,7.35,0.101,24.1,100% (Good)
2025-11-26 12:58:26,7.39,0.108,24.1,100% (Good)
2025-11-26 12:58:27,7.90,0.116,23.2,100% (Good)
2025-11-26 12:58:28,8.16,0.124,23.2,100% (Good)
2025-11-26 12:58:29,7.11,0.132,23.2,100% (Good)
2025-11-26 12:58:31,7.57,0.139,23.2,100% (Good)
2025-11-26 12:58:32,7.54,0.147,23.2,100% (Good)
2025-11-26 12:58:33,7.92,0.155,23.8,100% (Good)
2025-11-26 12:58:34,7.33,0.162,23.8,100% (Good)
2025-11-26 12:58:35,8.29,0.170,23.8,100% (Good)
2025-11-26 12:58:36,8.19,0.178,23.8,100% (Good)
2025-11-26 12:58:37,8.39,0.187,23.8,100% (Good)
2025-11-26 12:58:38,0.00,0.000,25.0,N/A
2025-11-26 12:58:40,0.00,0.000,25.0,N/A
2025-11-26 12:58:41,0.00,0.000,25.0,N/A
2025-11-26 12:58:42,0.00,0.000,25.0,N/A
2025-11-26 12:58:43,0.00,0.000,25.0,N/A
2025-11-26 12:58:44,0.00,0.000,25.0,N/A
2025-11-26 12:58:45,0.00,0.000,25.0,N/A
2025-11-26 12:58:46,0.00,0.000,25.0,N/A
2025-11-26 12:58:47,0.00,0.000,25.0,N/A
2025-11-26 12:58:49,0.00,0.000,25.0,N/A
2025-11-26 12:58:50,0.00,0.000,25.0,N/A
2025-11-26 12:58:51,0.00,0.000,25.0,N/A
2025-11-26 12:58:52,0.00,0.000,25.0,N/A
2025-11-26 12:58:53,0.00,0.000,25.0,N/A
2025-11-26 12:58:54,0.00,0.000,25.0,N/A
2025-11-26 12:58:55,0.00,0.000,25.0,N/A
2025-11-26 12:58:57,0.00,0.000,25.0,N/A
2025-11-26 12:58:58,0.00,0.000,25.0,N/A
2025-11-26 12:58:59,0.00,0.000,25.0,N/A
2025-11-26 12:59:00,0.00,0.000,25.0,N/A
2025-11-26 12:59:01,0.00,0.000,25.0,N/A
2025-11-26 12:59:02,0.00,0.000,25.0,N/A
