Timestamp,Flow (SLPM),Total Flow (NCM),Temperature (°C),Battery
09/24/2025 9:54,1.13,0.001,25,100% (Good)
09/24/2025 9:54,2.88,0.004,25,100% (Good)
09/24/2025 9:54,6.55,0.011,25,100% (Good)
09/24/2025 9:54,8.27,0.019,25,100% (Good)
09/24/2025 9:54,2.92,0.022,25,100% (Good)
09/24/2025 9:54,11.82,0.034,24,100% (Good)
09/24/2025 9:56,7.8,0.008,25,100% (Good)
09/24/2025 9:56,7.84,0.016,25,100% (Good)
09/24/2025 9:56,1.66,0.017,25,100% (Good)
09/24/2025 9:56,0.62,0.018,25,100% (Good)
09/24/2025 9:56,15.72,0.034,25,100% (Good)
09/24/2025 9:56,2.52,0.036,28.3,100% (Good)
09/24/2025 9:56,14.66,0.051,28.3,100% (Good)
09/24/2025 9:56,15.04,0.066,28.3,100% (Good)
09/24/2025 9:56,16.41,0.016,25,100% (Good)
09/24/2025 9:56,17.41,0.034,25,100% (Good)
09/24/2025 9:56,0.54,0.034,25,100% (Good)
09/24/2025 9:59,8.68,0.009,25,100% (Good)
09/24/2025 9:59,12.12,0.021,25,100% (Good)
09/24/2025 9:59,13.7,0.035,25,100% (Good)
09/24/2025 9:59,9.09,0.044,25,100% (Good)
09/24/2025 9:59,12.91,0.057,25,100% (Good)
09/24/2025 10:04,10.01,0.01,25,100% (Good)
09/24/2025 10:04,15.84,0.026,25,100% (Good)
09/24/2025 10:04,2,0.028,25,100% (Good)
09/24/2025 10:04,4.71,0.033,25,100% (Good)
09/24/2025 10:04,15.85,0.048,25,100% (Good)
09/24/2025 10:04,14.57,0.063,26.1,100% (Good)
09/24/2025 10:04,9.88,0.073,26.1,100% (Good)
09/24/2025 10:04,10.62,0.083,26.1,100% (Good)
09/24/2025 10:04,13.25,0.097,26.1,100% (Good)
09/24/2025 10:04,3.75,0.1,26.1,100% (Good)
09/24/2025 10:04,0.71,0.101,26,100% (Good)
09/24/2025 10:04,12.95,0.114,26,100% (Good)
09/24/2025 10:04,15.91,0.13,26,100% (Good)
09/24/2025 10:04,10.71,0.141,26,100% (Good)
09/24/2025 10:04,16.13,0.157,26,100% (Good)
09/24/2025 10:04,12.87,0.17,22.2,100% (Good)
09/24/2025 10:04,1.81,0.172,22.2,100% (Good)
09/24/2025 10:04,10.76,0.182,22.2,100% (Good)
09/24/2025 10:04,2.59,0.185,22.2,100% (Good)
09/24/2025 10:04,17.85,0.203,22.2,100% (Good)
09/24/2025 10:04,17.46,0.22,22.2,100% (Good)
09/24/2025 10:04,16.09,0.236,22.2,100% (Good)
09/24/2025 10:04,9.62,0.246,22.2,100% (Good)
09/24/2025 10:04,16.05,0.262,22.2,100% (Good)
09/24/2025 10:04,18.91,0.281,22.2,100% (Good)
09/24/2025 10:04,17.68,0.299,20.6,100% (Good)
09/24/2025 10:04,8.23,0.307,20.6,100% (Good)
09/24/2025 10:04,5.76,0.313,20.6,100% (Good)
09/24/2025 10:04,7.8,0.32,20.6,100% (Good)
09/24/2025 10:04,4.66,0.325,20.6,100% (Good)
09/24/2025 10:05,13.28,0.338,26.7,100% (Good)
09/24/2025 10:05,0.95,0.339,26.7,100% (Good)
09/24/2025 10:05,19.19,0.358,26.7,100% (Good)
09/24/2025 10:05,10.24,0.369,26.7,100% (Good)
09/24/2025 10:05,9.95,0.379,26.7,100% (Good)
09/24/2025 10:05,2.35,0.381,22.3,100% (Good)
09/24/2025 10:05,2.22,0.383,22.3,100% (Good)
09/24/2025 10:05,11.03,0.394,22.3,100% (Good)
09/24/2025 10:05,6.3,0.401,22.3,100% (Good)
09/24/2025 10:05,3.09,0.404,22.3,100% (Good)
09/24/2025 10:05,7.86,0.411,24,100% (Good)
09/24/2025 10:05,7.51,0.419,24,100% (Good)
09/24/2025 10:05,14.83,0.434,24,100% (Good)
09/24/2025 10:05,4.96,0.439,24,100% (Good)
09/24/2025 10:05,14.49,0.453,24,100% (Good)
09/24/2025 10:05,3.92,0.457,27.2,100% (Good)
09/24/2025 10:05,6.4,0.464,27.2,100% (Good)
09/24/2025 10:05,5.54,0.469,27.2,100% (Good)
09/24/2025 10:05,1.57,0.471,27.2,100% (Good)
09/24/2025 10:05,9.26,0.48,27.2,100% (Good)
09/24/2025 10:05,3.27,0.483,26,100% (Good)
09/24/2025 10:05,9.37,0.493,26,100% (Good)
09/24/2025 10:05,8.44,0.501,26,100% (Good)
09/24/2025 10:05,6.55,0.508,26,100% (Good)
09/24/2025 10:05,11.88,0.519,26,100% (Good)
09/24/2025 10:05,6.81,0.526,26,100% (Good)
09/24/2025 10:05,8.78,0.535,26,100% (Good)
09/24/2025 10:05,7.02,0.542,26,100% (Good)
09/24/2025 10:05,17.98,0.56,26,100% (Good)
09/24/2025 10:05,11.95,0.572,26,100% (Good)
09/24/2025 10:05,2.63,0.575,27.8,100% (Good)
09/24/2025 10:05,4.56,0.579,27.8,100% (Good)
09/24/2025 10:11,15.98,0.016,25,100% (Good)
09/24/2025 10:11,9.84,0.026,25,100% (Good)
09/24/2025 10:11,9.24,0.035,25,100% (Good)
09/24/2025 10:11,11.6,0.047,25,100% (Good)
09/24/2025 10:11,16.43,0.063,25,100% (Good)
09/24/2025 10:11,8.85,0.072,28.6,100% (Good)
09/24/2025 10:11,18.24,0.09,28.6,100% (Good)
09/24/2025 10:11,15.03,0.105,28.6,100% (Good)
09/24/2025 10:11,5.54,0.111,28.6,100% (Good)
09/24/2025 10:11,3.39,0.114,28.6,100% (Good)
09/24/2025 10:11,16.88,0.131,27.4,100% (Good)
09/24/2025 10:11,10.3,0.141,27.4,100% (Good)
09/24/2025 10:11,2.57,0.144,27.4,100% (Good)
09/24/2025 10:11,8.41,0.152,27.4,100% (Good)
09/24/2025 10:11,2.44,0.155,27.4,100% (Good)
09/24/2025 10:11,14.95,0.17,23.3,100% (Good)
09/24/2025 10:11,3.25,0.173,23.3,100% (Good)
09/24/2025 10:11,11.13,0.184,23.3,100% (Good)
09/24/2025 10:11,7.58,0.192,23.3,100% (Good)
09/24/2025 10:11,9.27,0.201,23.3,100% (Good)
09/24/2025 10:11,14.31,0.215,25.6,100% (Good)
09/24/2025 10:11,6.5,0.222,25.6,100% (Good)
09/24/2025 10:11,14.28,0.236,25.6,100% (Good)
09/24/2025 10:11,3.13,0.239,25.6,100% (Good)
09/24/2025 10:11,2.74,0.242,25.6,100% (Good)
09/24/2025 10:11,2.55,0.244,24.5,100% (Good)
09/24/2025 10:11,0.99,0.245,24.5,100% (Good)
09/24/2025 10:11,10.97,0.256,24.5,100% (Good)
09/24/2025 10:11,3.94,0.26,24.5,100% (Good)
09/24/2025 10:11,8.6,0.269,24.5,100% (Good)
09/24/2025 10:11,5.84,0.275,25.2,100% (Good)
09/24/2025 10:11,5.19,0.28,25.2,100% (Good)
09/24/2025 10:11,11.61,0.292,25.2,100% (Good)
09/24/2025 10:11,13.28,0.305,25.2,100% (Good)
09/24/2025 10:11,4.76,0.31,25.2,100% (Good)
09/24/2025 10:11,15.08,0.325,29,100% (Good)
09/24/2025 10:11,5.61,0.33,29,100% (Good)
09/24/2025 10:11,3.88,0.334,29,100% (Good)
09/24/2025 10:11,12.78,0.347,29,100% (Good)
09/24/2025 10:11,17.01,0.364,29,100% (Good)
09/24/2025 10:11,7.6,0.372,22.2,100% (Good)
09/24/2025 10:11,18.85,0.39,22.2,100% (Good)
09/24/2025 10:11,3.13,0.394,22.2,100% (Good)
09/24/2025 10:11,19.64,0.413,22.2,100% (Good)
09/24/2025 10:11,1.18,0.414,22.2,100% (Good)
09/24/2025 10:11,5.65,0.42,27.2,100% (Good)
09/24/2025 10:11,14.36,0.434,27.2,100% (Good)
09/24/2025 10:11,8.99,0.443,27.2,100% (Good)
09/24/2025 10:11,11.92,0.455,27.2,100% (Good)
09/24/2025 10:11,0.9,0.456,27.2,100% (Good)
09/24/2025 10:11,17.28,0.473,23.3,100% (Good)
09/24/2025 10:11,7.24,0.481,23.3,100% (Good)
09/24/2025 10:11,19.42,0.5,23.3,100% (Good)
09/24/2025 10:11,4.91,0.505,23.3,100% (Good)
09/24/2025 10:11,3.07,0.508,23.3,100% (Good)
09/24/2025 10:11,19.63,0.528,29.8,100% (Good)
