Timestamp,Flow (SLPM),Total Flow (NCM),Temperature (°C),Battery
2025-09-30 08:04:01,10.80,0.011,25.0,100% (Good)
2025-09-30 08:04:02,17.30,0.028,25.0,100% (Good)
2025-09-30 08:04:03,19.07,0.047,25.0,100% (Good)
2025-09-30 08:04:04,11.68,0.059,25.0,100% (Good)
2025-09-30 08:04:05,12.52,0.071,25.0,100% (Good)
2025-09-30 08:04:06,2.83,0.074,24.9,100% (Good)
2025-09-30 08:04:07,2.60,0.077,24.9,100% (Good)
2025-09-30 08:04:08,6.11,0.083,24.9,100% (Good)
2025-09-30 08:12:01,4.59,0.005,25.0,100% (Good)
2025-09-30 08:12:02,12.35,0.017,25.0,100% (Good)
2025-09-30 08:52:00,7.90,0.008,25.0,100% (Good)
2025-09-30 08:52:01,4.89,0.013,25.0,100% (Good)
2025-09-30 08:53:02,5.02,0.005,25.0,100% (Good)
2025-09-30 08:53:03,3.73,0.009,25.0,100% (Good)
2025-09-30 08:55:39,3.63,0.004,25.0,100% (Good)
2025-09-30 08:55:40,1.54,0.005,25.0,100% (Good)
2025-09-30 09:06:39,1.87,0.002,25.0,100% (Good)
2025-09-30 09:06:40,15.49,0.017,25.0,100% (Good)
2025-09-30 09:06:41,4.55,0.022,25.0,100% (Good)
2025-09-30 09:06:42,13.29,0.035,25.0,100% (Good)
2025-09-30 09:06:43,12.83,0.048,25.0,100% (Good)
2025-09-30 09:06:44,13.93,0.062,21.9,100% (Good)
2025-09-30 09:06:45,14.71,0.077,21.9,100% (Good)
2025-09-30 09:06:46,8.22,0.085,21.9,100% (Good)
2025-09-30 09:06:47,18.52,0.103,21.9,100% (Good)
2025-09-30 09:06:48,6.96,0.110,21.9,100% (Good)
2025-09-30 09:06:49,7.12,0.117,28.8,100% (Good)
2025-09-30 09:06:50,11.69,0.129,28.8,100% (Good)
2025-09-30 09:06:51,13.09,0.142,28.8,100% (Good)
2025-09-30 09:06:53,7.96,0.150,28.8,100% (Good)
2025-09-30 09:06:54,7.82,0.158,28.8,100% (Good)
2025-09-30 09:06:55,13.41,0.171,20.8,100% (Good)
2025-09-30 09:06:56,16.74,0.188,20.8,100% (Good)
2025-09-30 09:06:57,5.75,0.194,20.8,100% (Good)
2025-09-30 09:06:58,4.01,0.198,20.8,100% (Good)
2025-09-30 09:06:59,5.96,0.204,20.8,100% (Good)
2025-09-30 09:07:00,15.50,0.219,29.4,100% (Good)
2025-09-30 09:07:01,8.22,0.228,29.4,100% (Good)
2025-09-30 09:07:02,12.47,0.240,29.4,100% (Good)
2025-09-30 09:07:03,1.44,0.242,29.4,100% (Good)
2025-09-30 09:07:04,6.35,0.248,29.4,100% (Good)
2025-09-30 09:07:05,18.38,0.266,27.2,100% (Good)
2025-09-30 09:07:06,2.53,0.269,27.2,100% (Good)
2025-09-30 09:07:07,6.75,0.276,27.2,100% (Good)
2025-09-30 09:07:08,2.12,0.278,27.2,100% (Good)
2025-09-30 09:07:09,4.51,0.282,27.2,100% (Good)
2025-09-30 09:07:10,3.67,0.286,29.5,100% (Good)
2025-09-30 09:07:11,9.81,0.296,29.5,100% (Good)
2025-09-30 09:07:12,14.13,0.310,29.5,100% (Good)
2025-09-30 09:07:14,14.66,0.324,29.5,100% (Good)
2025-09-30 09:07:15,1.47,0.326,29.5,100% (Good)
2025-09-30 09:07:16,7.41,0.333,27.4,100% (Good)
2025-09-30 09:07:17,2.26,0.336,27.4,100% (Good)
2025-09-30 09:07:18,9.24,0.345,27.4,100% (Good)
2025-09-30 09:07:19,2.13,0.347,27.4,100% (Good)
2025-09-30 09:07:20,4.39,0.351,27.4,100% (Good)
2025-09-30 09:07:21,12.41,0.364,27.4,100% (Good)
2025-09-30 09:07:22,14.40,0.378,27.4,100% (Good)
2025-09-30 09:07:23,1.37,0.380,27.4,100% (Good)
2025-09-30 09:07:24,6.64,0.386,27.4,100% (Good)
2025-09-30 09:07:25,15.07,0.401,27.4,100% (Good)
2025-09-30 09:07:26,10.05,0.411,25.3,100% (Good)
2025-09-30 09:07:27,9.98,0.421,25.3,100% (Good)
2025-09-30 09:07:28,4.69,0.426,25.3,100% (Good)
2025-09-30 09:07:29,12.81,0.439,25.3,100% (Good)
2025-09-30 09:07:30,5.32,0.444,25.3,100% (Good)
2025-09-30 09:07:31,3.69,0.448,29.6,100% (Good)
2025-09-30 09:07:32,7.24,0.455,29.6,100% (Good)
2025-09-30 09:07:33,5.88,0.461,29.6,100% (Good)
2025-09-30 09:07:34,18.38,0.479,29.6,100% (Good)
2025-09-30 09:07:35,16.53,0.496,29.6,100% (Good)
2025-09-30 09:07:36,19.52,0.515,24.2,100% (Good)
2025-09-30 09:07:38,10.97,0.526,24.2,100% (Good)
2025-09-30 09:07:39,3.76,0.530,24.2,100% (Good)
2025-09-30 09:07:40,16.30,0.546,24.2,100% (Good)
2025-09-30 09:07:41,4.15,0.551,24.2,100% (Good)
2025-09-30 09:07:43,8.40,0.559,20.6,100% (Good)
2025-09-30 09:07:44,16.58,0.576,20.6,100% (Good)
2025-09-30 09:07:45,14.73,0.590,20.6,100% (Good)
2025-09-30 09:07:46,15.76,0.606,20.6,100% (Good)
2025-09-30 09:07:47,18.63,0.625,20.6,100% (Good)
2025-09-30 09:07:48,15.39,0.640,26.4,100% (Good)
2025-09-30 09:07:49,18.54,0.659,26.4,100% (Good)
2025-09-30 09:07:50,6.80,0.665,26.4,100% (Good)
2025-09-30 09:07:51,7.32,0.673,26.4,100% (Good)
2025-09-30 09:07:52,18.17,0.691,26.4,100% (Good)
2025-09-30 09:07:53,1.70,0.693,20.6,100% (Good)
2025-09-30 09:07:54,1.58,0.694,20.6,100% (Good)
2025-09-30 09:07:55,7.46,0.702,20.6,100% (Good)
2025-09-30 09:07:57,8.68,0.710,20.6,100% (Good)
2025-09-30 09:07:58,11.01,0.721,20.6,100% (Good)
2025-09-30 09:11:28,8.42,0.008,25.0,100% (Good)
2025-09-30 09:11:29,3.86,0.012,25.0,100% (Good)
2025-09-30 09:11:30,9.19,0.021,25.0,100% (Good)
2025-09-30 09:11:31,9.06,0.031,25.0,100% (Good)
2025-09-30 09:11:32,2.60,0.033,25.0,100% (Good)
2025-09-30 09:11:33,7.36,0.040,20.7,100% (Good)
2025-09-30 09:11:34,8.95,0.049,20.7,100% (Good)
2025-09-30 09:11:35,19.55,0.069,20.7,100% (Good)
2025-09-30 09:11:36,1.00,0.070,20.7,100% (Good)
2025-09-30 09:11:37,18.44,0.088,20.7,100% (Good)
2025-09-30 09:11:38,1.29,0.090,25.0,100% (Good)
2025-09-30 09:11:39,10.57,0.100,25.0,100% (Good)
2025-09-30 09:11:40,15.44,0.116,25.0,100% (Good)
2025-09-30 09:11:41,9.78,0.126,25.0,100% (Good)
2025-09-30 09:11:42,4.60,0.130,25.0,100% (Good)
2025-09-30 09:11:43,13.63,0.144,27.1,100% (Good)
2025-09-30 09:11:44,15.69,0.159,27.1,100% (Good)
2025-09-30 09:11:45,19.39,0.179,27.1,100% (Good)
2025-09-30 09:11:46,3.51,0.182,27.1,100% (Good)
2025-09-30 09:11:47,3.74,0.186,27.1,100% (Good)
2025-09-30 09:11:48,17.60,0.204,20.9,100% (Good)
2025-09-30 09:11:49,1.80,0.205,20.9,100% (Good)
2025-09-30 09:11:50,9.72,0.215,20.9,100% (Good)
2025-09-30 09:11:51,11.78,0.227,20.9,100% (Good)
2025-09-30 09:11:52,9.91,0.237,20.9,100% (Good)
2025-09-30 09:11:53,11.09,0.248,23.7,100% (Good)
2025-09-30 09:11:54,16.77,0.265,23.7,100% (Good)
2025-09-30 09:11:55,18.64,0.283,23.7,100% (Good)
2025-09-30 09:11:56,1.88,0.285,23.7,100% (Good)
2025-09-30 09:11:58,13.64,0.299,23.7,100% (Good)
2025-09-30 09:11:59,9.17,0.308,24.1,100% (Good)
2025-09-30 09:12:00,5.20,0.313,24.1,100% (Good)
2025-09-30 09:12:01,6.19,0.319,24.1,100% (Good)
2025-09-30 09:12:02,8.99,0.328,24.1,100% (Good)
2025-09-30 09:12:03,11.19,0.340,24.1,100% (Good)
2025-09-30 09:12:04,5.43,0.345,21.2,100% (Good)
2025-09-30 09:12:05,6.03,0.351,21.2,100% (Good)
2025-09-30 09:12:06,3.08,0.354,21.2,100% (Good)
