Timestamp,Flow (SLPM),Total Flow (NCM),Temperature (°C),Battery
2025-09-29 09:28:23,18.78,0.019,25.0,100% (Good)
2025-09-29 09:28:24,5.10,0.024,25.0,100% (Good)
2025-09-29 09:28:25,16.40,0.040,25.0,100% (Good)
2025-09-29 09:29:40,6.34,0.006,25.0,100% (Good)
2025-09-29 09:29:41,8.09,0.014,25.0,100% (Good)
2025-09-29 09:29:42,3.51,0.018,25.0,100% (Good)
2025-09-29 09:33:43,6.73,0.007,25.0,100% (Good)
2025-09-29 09:33:44,0.76,0.007,25.0,100% (Good)
2025-09-29 09:33:45,17.09,0.025,25.0,100% (Good)
2025-09-29 09:33:46,7.66,0.032,25.0,100% (Good)
2025-09-29 09:33:47,19.27,0.052,25.0,100% (Good)
2025-09-29 09:34:44,1.74,0.002,25.0,100% (Good)
2025-09-29 09:34:45,0.75,0.002,25.0,100% (Good)
2025-09-29 09:34:48,9.64,0.010,25.0,100% (Good)
2025-09-29 09:34:49,6.04,0.016,25.0,100% (Good)
2025-09-29 09:36:27,7.41,0.007,25.0,100% (Good)
2025-09-29 09:36:31,19.14,0.019,25.0,100% (Good)
2025-09-29 09:36:32,19.00,0.038,25.0,100% (Good)
2025-09-29 09:36:33,3.78,0.042,25.0,100% (Good)
2025-09-29 09:36:34,13.96,0.056,25.0,100% (Good)
2025-09-29 09:36:35,19.47,0.075,25.0,100% (Good)
2025-09-29 09:36:36,11.55,0.087,21.3,100% (Good)
2025-09-29 09:36:37,1.73,0.089,21.3,100% (Good)
2025-09-29 09:36:38,16.28,0.105,21.3,100% (Good)
2025-09-29 09:36:39,1.43,0.106,21.3,100% (Good)
2025-09-29 09:36:54,15.58,0.016,25.0,100% (Good)
2025-09-29 09:36:55,2.87,0.018,25.0,100% (Good)
2025-09-29 09:36:56,11.66,0.030,25.0,100% (Good)
2025-09-29 09:36:57,8.25,0.038,25.0,100% (Good)
2025-09-29 09:36:58,17.47,0.056,25.0,100% (Good)
2025-09-29 09:36:59,6.28,0.062,28.9,100% (Good)
2025-09-29 09:37:00,10.88,0.073,28.9,100% (Good)
2025-09-29 09:37:01,13.59,0.087,28.9,100% (Good)
2025-09-29 09:37:02,2.78,0.089,28.9,100% (Good)
2025-09-29 09:37:03,9.08,0.098,28.9,100% (Good)
2025-09-29 09:37:04,9.12,0.108,24.1,100% (Good)
2025-09-29 09:37:05,10.83,0.118,24.1,100% (Good)
2025-09-29 09:37:06,7.68,0.126,24.1,100% (Good)
2025-09-29 09:37:07,12.62,0.139,24.1,100% (Good)
2025-09-29 09:37:08,19.20,0.158,24.1,100% (Good)
2025-09-29 09:37:09,10.53,0.168,26.6,100% (Good)
2025-09-29 09:37:10,0.55,0.169,26.6,100% (Good)
2025-09-29 09:37:11,8.87,0.178,26.6,100% (Good)
2025-09-29 09:37:12,0.68,0.179,26.6,100% (Good)
2025-09-29 09:37:13,15.12,0.194,26.6,100% (Good)
2025-09-29 09:37:14,10.56,0.204,29.9,100% (Good)
2025-09-29 09:37:15,7.34,0.212,29.9,100% (Good)
2025-09-29 09:37:17,1.19,0.213,29.9,100% (Good)
2025-09-29 09:37:18,9.79,0.223,29.9,100% (Good)
2025-09-29 09:37:19,9.37,0.232,29.9,100% (Good)
2025-09-29 09:37:20,13.00,0.245,29.8,100% (Good)
2025-09-29 09:37:21,15.30,0.260,29.8,100% (Good)
2025-09-29 09:37:22,3.07,0.263,29.8,100% (Good)
2025-09-29 09:37:23,6.48,0.270,29.8,100% (Good)
2025-09-29 09:37:24,18.67,0.288,29.8,100% (Good)
2025-09-29 09:37:25,12.67,0.301,29.7,100% (Good)
2025-09-29 09:42:31,16.73,0.017,25.0,100% (Good)
2025-09-29 09:42:32,15.28,0.032,25.0,100% (Good)
2025-09-29 10:46:57,14.93,0.015,25.0,100% (Good)
2025-09-29 10:46:58,3.87,0.019,25.0,100% (Good)
2025-09-29 10:46:59,2.53,0.021,25.0,100% (Good)
2025-09-29 10:47:00,15.79,0.037,25.0,100% (Good)
2025-09-29 10:47:01,9.49,0.047,25.0,100% (Good)
2025-09-29 10:47:02,18.08,0.065,24.5,100% (Good)
2025-09-29 10:47:03,9.39,0.074,24.5,100% (Good)
2025-09-29 10:47:04,13.09,0.087,24.5,100% (Good)
2025-09-29 10:47:05,12.49,0.100,24.5,100% (Good)
2025-09-29 10:47:06,15.13,0.115,24.5,100% (Good)
2025-09-29 10:48:22,6.71,0.007,25.0,100% (Good)
2025-09-29 10:48:23,8.02,0.015,25.0,100% (Good)
